question_id,701,261700
1,D,D
2,B,B
3,D,C
4,D,D
5,D,D
6,C,A
7,C,C
8,B,C
9,B,D
10,A,A
11,C,C
12,B,B
13,B,A
14,D,C
15,D,B
16,A,D
17,B,C
18,B,A
19,D,A
20,B,C
21,B,B
22,A,A
23,C,C
24,A,B
25,B,B
26,A,D
27,A,B
28,D,C
29,B,C
30,B,C
31,A,C
32,B,B
33,C,C
34,D,D
35,A,A
36,C,C
37,C,B
38,B,B
39,A,A
40,A,D
41,D,B
42,D,D
43,D,A
44,C,B
45,A,A
