student_id,total_questions,attempted,correct,incorrect,score_percentage
260300,45,45,22,23,48.89
269800,45,45,17,28,37.78
270700,45,44,23,21,51.11
279200,45,45,32,13,71.11
284400,45,45,16,29,35.56
287100,45,45,18,27,40.0
981995,45,45,24,21,53.33
992973,45,45,17,28,37.78
